label,text
spam,Chúc mừng! Bạn đã trúng một chiếc laptop miễn phí. Nhận ngay tại đây!
spam,Nhân đôi thu nhập! Học cách kiếm 500 đô la dễ dàng. Click vào liên kết này.
ham,Did you review the assignment yet?
spam,Nhân đôi thu nhập! Học cách kiếm 200 đô la dễ dàng. Nhấn vào đây ngay!
spam,Ưu đãi có thời hạn! Nhận một thẻ quà tặng miễn phí! Truy cập trang web của chúng tôi.
ham,Let me know if you need help with the deployment.
ham,Vui lòng gửi cho tôi bài tập trước cuối tuần.
ham,Thanks for helping me with the assignment.
spam,Double your income! Learn how to make $200 easily. Visit our website.
spam,một chiếc iPhone mới MIỄN PHÍ đang chờ bạn. Gọi ngay!
ham,Đừng quên cuộc họp của chúng ta vào tối nay.
ham,Vui lòng gửi cho tôi bản thuyết trình trước thứ Hai.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào cuối tuần này chứ?"
ham,Đừng quên bữa tối của chúng ta vào lát nữa.
spam,Ưu đãi có thời hạn! Nhận 500 đô la miễn phí! Đừng bỏ lỡ!
spam,Urgent! Your account needs verification. Click this link.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào lúc 8 giờ sáng chứ?"
spam,TRÚNG 1000 đô la tiền mặt ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Bạn đã xem lại ghi chú cuộc họp chưa?
ham,I will be available next Friday.
spam,Kiếm tiền nhanh chóng! Kiếm 500 đô la một tuần từ việc làm ở nhà.
ham,Bạn đã xem lại ghi chú cuộc họp chưa?
spam,Get 50% off on all products! Claim it here!
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Hành động nhanh lên!
ham,Let's schedule a meeting for later today.
spam,Make money fast! Earn $50000 a week from home.
ham,Can you call me when you are free?
spam,FREE a free prize waiting for you. Claim it here!
ham,Can you call me when you get to the office?
ham,Bạn có thể gọi cho tôi khi bạn họp xong không?
ham,lịch hẹn sẽ bắt đầu lúc chiều nay.
spam,Double your income! Learn how to make $50000 easily. Click here now!
spam,TRÚNG một chiếc iPhone mới ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Đừng quên lớp học của chúng ta vào vào thứ Hai.
spam,Nhân đôi thu nhập! Học cách kiếm 500 đô la dễ dàng. Gọi ngay!
spam,Kiếm tiền nhanh chóng! Kiếm 500 đô la một tuần từ việc làm ở nhà.
ham,buổi họp nhóm sẽ bắt đầu lúc ngày mai.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Nhận ngay tại đây!
spam,Kiếm tiền nhanh chóng! Kiếm 500 đô la một tuần từ việc làm ở nhà.
spam,TRÚNG một chiếc ô tô mới tinh ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
spam,Kiếm tiền nhanh chóng! Kiếm 1000 đô la một tuần từ việc làm ở nhà.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Trả lời email này.
spam,Nhân đôi thu nhập! Học cách kiếm 200 đô la dễ dàng. Đừng bỏ lỡ!
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Click vào liên kết này.
spam,một chiếc iPhone mới của bạn đã sẵn sàng để giao. Nhận ngay tại đây!
ham,Bạn đã xem lại hóa đơn chưa?
spam,Ưu đãi có thời hạn! Nhận một Bitcoin miễn phí! Nhận ngay tại đây!
ham,The meeting will begin at 2 PM.
spam,Kiếm tiền nhanh chóng! Kiếm 10000 đô la một tuần từ việc làm ở nhà.
spam,một kỳ nghỉ dưỡng sang trọng của bạn đã sẵn sàng để giao. Nhận ngay tại đây!
ham,Tôi sẽ đi nghỉ mát vào lúc 2 giờ chiều.
ham,I will be in a meeting at 8 AM.
spam,Kiếm tiền nhanh chóng! Kiếm 2500 đô la một tuần từ việc làm ở nhà.
ham,Vui lòng gửi cho tôi ghi chú cuộc họp trước thứ Năm.
spam,Chúc mừng! Bạn đã trúng một chiếc laptop miễn phí. Trả lời email này.
spam,TRÚNG một chiếc ô tô mới tinh ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Thanks for helping me with the presentation.
ham,Hãy lên lịch cho một buổi họp nhóm vào vào thứ Hai.
ham,Bạn có thể gọi cho tôi khi bạn họp xong không?
ham,Don't forget our interview this weekend.
spam,Ưu đãi có thời hạn! Nhận một thẻ quà tặng miễn phí! Đừng bỏ lỡ!
ham,Did you review the assignment yet?
ham,Vui lòng gửi cho tôi đề xuất dự án trước thứ Ba.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Hành động nhanh lên!
ham,Bạn có thể gọi cho tôi khi bạn ăn trưa xong không?
ham,Vui lòng gửi cho tôi bản nháp thiết kế trước thứ Sáu.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào tối nay chứ?"
spam,FREE $2000 shopping voucher waiting for you. Click here now!
ham,Bạn đã xem lại báo cáo chưa?
ham,Vui lòng gửi cho tôi ghi chú cuộc họp trước thứ Hai.
ham,The appointment will begin this afternoon.
spam,Kiếm tiền nhanh chóng! Kiếm 2500 đô la một tuần từ việc làm ở nhà.
ham,Did you review the presentation yet?
spam,Nhân đôi thu nhập! Học cách kiếm 1000 đô la dễ dàng. Gọi ngay!
spam,Ưu đãi có thời hạn! Nhận một thẻ quà tặng miễn phí! Nhận ngay tại đây!
spam,Ưu đãi có thời hạn! Nhận phiếu mua hàng trị giá 2000 đô la miễn phí! Trả lời email này.
spam,FREE a free laptop waiting for you. Claim it here!
ham,Please send me the meeting notes before Tuesday.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Hành động nhanh lên!
ham,Thanks for helping me with the deployment.
spam,Giảm giá 80% cho tất cả sản phẩm! Đừng bỏ lỡ!
spam,Kiếm tiền nhanh chóng! Kiếm 500 đô la một tuần từ việc làm ở nhà.
spam,Kiếm tiền nhanh chóng! Kiếm 1000 đô la một tuần từ việc làm ở nhà.
ham,Can you call me when you finish lunch?
ham,Vui lòng gửi cho tôi mã nguồn trước cuối tuần.
ham,Hãy lên lịch cho một cuộc họp vào tối nay.
ham,Bạn có thể gọi cho tôi khi bạn họp xong không?
spam,Urgent! Your account needs verification. Click here now!
ham,Hãy lên lịch cho một cuộc họp vào chiều nay.
spam,một chiếc ô tô mới tinh MIỄN PHÍ đang chờ bạn. Hành động nhanh lên!
ham,Let's schedule a group meeting for later today.
ham,Thanks for helping me with the presentation.
spam,Congratulations! You have won a new iPhone. Visit our website.
spam,Giảm giá 99% cho tất cả sản phẩm! Gọi ngay!
ham,Vui lòng gửi cho tôi báo cáo tài chính trước thứ Năm.
ham,Vui lòng gửi cho tôi hóa đơn trước thứ Hai.
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Hành động nhanh lên!
spam,WIN a new iPhone now! Claim your free reward today!
ham,Bạn đã xem lại báo cáo chưa?
ham,Tôi sẽ đi nghỉ mát vào tuần sau.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào cuối tuần này chứ?"
spam,Nhân đôi thu nhập! Học cách kiếm 2500 đô la dễ dàng. Trả lời email này.
ham,The group meeting will begin on Monday.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào cuối tuần này chứ?"
ham,I will be working from home tonight.
ham,Bạn đã xem lại mã nguồn chưa?
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Nhấn vào đây ngay!
spam,một chiếc laptop miễn phí MIỄN PHÍ đang chờ bạn. Click vào liên kết này.
ham,Cảm ơn vì đã giúp tôi với bản báo cáo.
ham,Bạn đã xem lại ghi chú cuộc họp chưa?
ham,Vui lòng gửi cho tôi bản nháp thiết kế trước thứ Hai.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Nhấn vào đây ngay!
spam,Kiếm tiền nhanh chóng! Kiếm 50000 đô la một tuần từ việc làm ở nhà.
spam,một thẻ quà tặng MIỄN PHÍ đang chờ bạn. Truy cập trang web của chúng tôi.
spam,Ưu đãi có thời hạn! Nhận 1000 đô la tiền mặt miễn phí! Hành động nhanh lên!
ham,Bạn đã xem lại mã nguồn chưa?
spam,Urgent! Your account needs verification. Click this link.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào tuần sau chứ?"
ham,Cảm ơn vì đã giúp tôi với kiểm thử.
ham,Đừng quên cuộc gọi của chúng ta vào cuối tuần này.
ham,Vui lòng gửi cho tôi đề xuất dự án trước thứ Ba.
ham,Đừng quên cuộc họp của chúng ta vào tuần sau.
ham,Vui lòng gửi cho tôi mã nguồn trước thứ Ba.
ham,Cảm ơn vì đã giúp tôi với việc triển khai.
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với viết code.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào thứ Sáu tới chứ?"
spam,You have been selected for a special offer. Claim it here!
ham,Can you call me when you finish the meeting?
ham,Please send me the code before Friday.
spam,TRÚNG 500 đô la ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Don't forget our conference next Friday.
ham,"Hello, are we still meeting tonight?"
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Trả lời email này.
spam,Chúc mừng! Bạn đã trúng một chiếc ô tô mới tinh. Gọi ngay!
ham,Đừng quên hội nghị của chúng ta vào tối nay.
ham,Vui lòng gửi cho tôi mã nguồn trước cuối tuần.
spam,Kiếm tiền nhanh chóng! Kiếm 2500 đô la một tuần từ việc làm ở nhà.
spam,Your a Bitcoin is ready to be shipped. Click here now!
spam,TRÚNG một kỳ nghỉ dưỡng sang trọng ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Can you call me when you are free?
spam,Urgent! Your account needs verification. Reply to this email.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Đừng bỏ lỡ!
spam,Get 90% off on all products! Don't miss out!
ham,Hãy lên lịch cho một hội nghị vào tối nay.
ham,Bạn đã xem lại bài tập chưa?
spam,TRÚNG một Bitcoin ngay! Nhận phần thưởng miễn phí của bạn hôm nay!
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với kiểm thử.
ham,Cảm ơn vì đã giúp tôi với bản báo cáo.
spam,một thẻ quà tặng của bạn đã sẵn sàng để giao. Đừng bỏ lỡ!
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với việc triển khai.
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Hành động nhanh lên!
spam,một thẻ quà tặng MIỄN PHÍ đang chờ bạn. Gọi ngay!
ham,Hãy cho tôi biết nếu bạn cần giúp đỡ với bài thuyết trình.
ham,Đừng quên buổi họp nhóm của chúng ta vào cuối tuần này.
ham,The call will begin later today.
ham,Tôi sẽ bận vào tối nay.
spam,You have been selected for a special offer. Claim it here!
spam,You have been selected for a special offer. Don't miss out!
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Truy cập trang web của chúng tôi.
spam,Bạn đã được chọn cho một ưu đãi đặc biệt. Trả lời email này.
ham,"Chào bạn, chúng ta vẫn gặp nhau vào tuần sau chứ?"
ham,Thanks for helping me with your project.
spam,FREE a luxury vacation waiting for you. Act fast!
spam,1000 đô la tiền mặt của bạn đã sẵn sàng để giao. Gọi ngay!
ham,Thanks for helping me with the presentation.
spam,Make money fast! Earn $500 a week from home.
spam,Kiếm tiền nhanh chóng! Kiếm 5000 đô la một tuần từ việc làm ở nhà.
ham,Let's schedule a appointment for at 2 PM.
ham,Tôi sẽ bận vào ngày mai.
spam,Limited time offer! Get $500 for free! Click here now!
spam,Get 30% off on all products! Click here now!
spam,Khẩn cấp! Tài khoản của bạn cần được xác minh. Gọi ngay!
spam,Nhân đôi thu nhập! Học cách kiếm 50000 đô la dễ dàng. Nhấn vào đây ngay!
spam,You have been selected for a special offer. Click this link.
